activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,dcpp_init_year,version
ScenarioMIP,CAS,FGOALS-g3,ssp245,r2i1p1f1,Amon,sfcWind,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/sfcWind/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp245,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/tas/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp245,r2i1p1f1,Amon,tasmax,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/tasmax/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp245,r2i1p1f1,Amon,tasmin,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/tasmin/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp370/r2i1p1f1/Amon/clt/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,Amon,huss,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp370/r2i1p1f1/Amon/huss/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,Amon,pr,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp370/r2i1p1f1/Amon/pr/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,Amon,psl,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp370/r2i1p1f1/Amon/psl/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,Amon,rlds,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp370/r2i1p1f1/Amon/rlds/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,Amon,rsds,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp370/r2i1p1f1/Amon/rsds/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,Amon,sfcWind,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp370/r2i1p1f1/Amon/sfcWind/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp370/r2i1p1f1/Amon/tas/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,Amon,tasmax,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp370/r2i1p1f1/Amon/tasmax/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,Amon,tasmin,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp370/r2i1p1f1/Amon/tasmin/gn/v20191211/,,20191211
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Amon,clt,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/clt/gr1/v20190726/,,20190726
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Amon,huss,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/huss/gr1/v20190726/,,20190726
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Amon,pr,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/pr/gr1/v20190726/,,20190726
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Amon,psl,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/psl/gr1/v20190726/,,20190726
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Amon,rlds,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/rlds/gr1/v20190726/,,20190726
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Amon,rsds,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/rsds/gr1/v20190726/,,20190726
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Amon,sfcWind,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/sfcWind/gr1/v20190726/,,20190726
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Amon,tas,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tas/gr1/v20190726/,,20190726
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Amon,tasmax,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tasmax/gr1/v20190726/,,20190726
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r1i1p1f1,Amon,tasmin,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tasmin/gr1/v20190726/,,20190726
ScenarioMIP,NOAA-GFDL,GFDL-ESM4,ssp126,r1i1p1f1,Amon,clt,gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp126/r1i1p1f1/Amon/clt/gr1/v20180701/,,20180701
ScenarioMIP,NOAA-GFDL,GFDL-ESM4,ssp126,r1i1p1f1,Amon,huss,gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp126/r1i1p1f1/Amon/huss/gr1/v20180701/,,20180701
ScenarioMIP,NOAA-GFDL,GFDL-ESM4,ssp126,r1i1p1f1,Amon,pr,gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp126/r1i1p1f1/Amon/pr/gr1/v20180701/,,20180701
ScenarioMIP,NOAA-GFDL,GFDL-ESM4,ssp126,r1i1p1f1,Amon,psl,gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp126/r1i1p1f1/Amon/psl/gr1/v20180701/,,20180701
ScenarioMIP,NOAA-GFDL,GFDL-ESM4,ssp126,r1i1p1f1,Amon,rlds,gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp126/r1i1p1f1/Amon/rlds/gr1/v20180701/,,20180701
